# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 702
0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0 000002_9223372199154788468_1768981867461490118_cam0_p+0_y+30_r+0.jpg

1 0.932322370803792 -0.24855962201146173 -0.2536514831999767 0.06822049746790015 -0.004910860071682291 0.0034607779719275813 0.007352481677248294 1 000002_9223372199154788468_1768981867461490118_cam0_p+30_y+0_r+0.jpg

2 0.9308703840913796 -0.2531802244126167 0.25403407495832986 -0.06961889648658832 -0.011641516096118012 0.0033920149024124525 0.005099400790327265 2 000002_9223372199154788468_1768981867461490118_cam0_p-30_y+0_r+0.jpg

3 0.9976119073922463 0.027378252365481026 0.06191856597124891 0.013674966715885336 0.02546014165643476 -0.0002058146894710571 -0.0157040005960278 3 000005_9223372199304785427_1768981867612840460_cam0_p+0_y+30_r+0.jpg

4 0.9497169707675862 -0.21687901565050635 -0.20767390029155647 0.08872834464927128 0.02726736932095424 -0.00020404597396204982 -0.01223102454487296 4 000005_9223372199304785427_1768981867612840460_cam0_p+30_y+0_r+0.jpg

5 0.924290608868095 -0.22706853326388463 0.30476238531365113 -0.035307790324064524 0.015249201763778352 0.0007824215092745597 -0.016169231634561163 5 000005_9223372199304785427_1768981867612840460_cam0_p-30_y+0_r+0.jpg

6 0.9899450281707992 0.03755813828165934 0.1307439752399962 0.03878453799099047 0.06336071347463738 -0.002096860890266588 -0.04203787902775007 6 000008_9223372199454785468_1768981867760889282_cam0_p+0_y+30_r+0.jpg

7 0.9604654076484801 -0.19478566492709126 -0.15262664914815435 0.12755332774708858 0.06538214110988161 -0.0035582766975126336 -0.03931052127596918 7 000008_9223372199454785468_1768981867760889282_cam0_p+30_y+0_r+0.jpg

8 0.9070492579767795 -0.22522210220729175 0.3556882656370781 0.004744045656338926 0.049134499779827395 0.0014858211754288633 -0.02505295657830785 8 000008_9223372199454785468_1768981867760889282_cam0_p-30_y+0_r+0.jpg

9 0.9774021414768977 0.04296899310634332 0.1960113176268353 0.06647016496138072 0.0944211758370929 -0.0073477902331019074 -0.06300603268993576 9 000011_9223372199604786927_1768981867910726077_cam0_p+0_y+30_r+0.jpg

10 0.9654879512420227 -0.17553325074258094 -0.09025313541675166 0.16992782420095065 0.10532614647449276 -0.00914582547009406 -0.061374654863453566 10 000011_9223372199604786927_1768981867910726077_cam0_p+30_y+0_r+0.jpg

